ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps
23000,3600.0,1400.0,3639.54,1336.69,1.2,7.42,74.64293469579013,6.22
23000,3600.0,1400.0,3499.1,1553.39,1.2,8.82,183.6009316425166,7.62
23000,3600.0,1400.0,3695.79,1352.92,1.2,4.93,106.73448599211028,3.7299999999999995
23000,3600.0,1400.0,3587.23,1406.98,1.2,7.11,14.553119940411397,5.91
23000,3600.0,1400.0,3683.27,1357.24,1.2,7.81,93.60721393140592,6.609999999999999
23000,3600.0,1400.0,3705.31,1312.85,1.2,7.94,136.69425225663295,6.74
23000,3600.0,1400.0,3763.08,1394.63,1.2,5.35,163.16838940186906,4.1499999999999995
23000,3600.0,1400.0,3823.06,1127.48,1.2,8.96,352.1688714239235,7.760000000000001
23000,3600.0,1400.0,3643.0,1409.11,1.2,0.0,43.954432085968286,-1.2
23000,3600.0,1400.0,3832.4,1390.19,1.2,4.77,232.60695625883602,3.5699999999999994
23000,3600.0,1400.0,3630.16,1182.37,1.2,1.18,219.70990532973255,-0.020000000000000018
23000,3600.0,1400.0,3554.72,1474.77,1.2,0.0,87.41184873917274,-1.2
23000,3600.0,1400.0,3653.46,1330.17,1.2,6.6,87.94430339709328,5.3999999999999995
23000,3600.0,1400.0,3464.52,1374.29,1.2,9.57,137.89791332721467,8.370000000000001
23000,3600.0,1400.0,3537.58,1594.87,1.2,5.18,204.62300286135957,3.9799999999999995
23000,3600.0,1400.0,3590.49,1473.4,1.2,4.56,74.01351295540577,3.3599999999999994
23000,3600.0,1400.0,3639.54,1414.49,1.2,0.47,42.11142006629552,-0.73
23000,3600.0,1400.0,3525.82,1511.45,1.2,7.71,133.8797030919922,6.51
23000,3600.0,1400.0,3507.77,1539.78,1.2,7.27,167.4658810026687,6.069999999999999
24000,3600.0,1400.0,3665.07,1420.74,1.2,9.62,68.29533292985708,8.42
24000,3600.0,1400.0,3613.87,1448.95,1.2,8.94,50.877100939420686,7.739999999999999
24000,3600.0,1400.0,3677.85,1337.99,1.2,5.61,99.52820002391275,4.41
24000,3600.0,1400.0,3935.48,1309.4,1.2,7.53,347.49847539233895,6.33
24000,3600.0,1400.0,3746.03,1398.13,1.2,8.79,146.04197273386873,7.589999999999999
